name,country,city,categories,review_count,rating,near_station,Address,empty_slots,free_bikes,latitude,longitude,timestamp,Unique ID
I Love Yo,FR,Toulouse,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'cafes', 'title': 'Cafes'}]",30,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Evangelina,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",60,3.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Le Saint-Jérôme,FR,Toulouse,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",64,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
The Melting Pot Pub,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",37,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Boca,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bars', 'title': 'Bars'}]",20,4.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Grand Café de l'Opéra,FR,Toulouse,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'french', 'title': 'French'}]",46,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
La Maison,FR,Toulouse,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",62,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
La Compagnie Française,FR,Toulouse,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",57,3.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Le Café de la Concorde,FR,Toulouse,"[{'alias': 'cafes', 'title': 'Cafes'}]",23,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Bar L'Autan,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'french', 'title': 'French'}]",16,4.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Barrique et Bourrique,FR,Toulouse,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}]",30,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Le Wallace,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",128,3.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
De Danú,FR,Toulouse,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}]",84,4.0,00195 - LARROUSSE - RIEUX,FACE 15 RUE PIERRE LAROUSSE,13,5,43.5972354030358,1.45907112459247,2022-12-05T00:29:56.994000Z,195
La Maison,FR,Toulouse,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",62,4.0,00195 - LARROUSSE - RIEUX,FACE 15 RUE PIERRE LAROUSSE,13,5,43.5972354030358,1.45907112459247,2022-12-05T00:29:56.994000Z,195
Puerto Habana,FR,Toulouse,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",33,3.5,00195 - LARROUSSE - RIEUX,FACE 15 RUE PIERRE LAROUSSE,13,5,43.5972354030358,1.45907112459247,2022-12-05T00:29:56.994000Z,195
The Frog & Rosbif,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",94,3.5,00195 - LARROUSSE - RIEUX,FACE 15 RUE PIERRE LAROUSSE,13,5,43.5972354030358,1.45907112459247,2022-12-05T00:29:56.994000Z,195
