name,country,city,categories,review_count,rating,near_station
L'Heure du Singe,FR,Toulouse,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",17,4.5,00195 - LARROUSSE - RIEUX
Le Seventies,FR,Toulouse,"[{'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",39,3.5,00195 - LARROUSSE - RIEUX
Le Saint-Jérôme,FR,Toulouse,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",64,4.0,00195 - LARROUSSE - RIEUX
Les Complices,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",11,4.5,00195 - LARROUSSE - RIEUX
Au Fut et à Mesure,FR,Toulouse,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",30,4.0,00195 - LARROUSSE - RIEUX
Officina Gusto,FR,Toulouse,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'french', 'title': 'French'}]",17,4.5,00195 - LARROUSSE - RIEUX
Le Delicatessen,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",34,4.0,00195 - LARROUSSE - RIEUX
Café Populaire,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",80,3.5,00195 - LARROUSSE - RIEUX
The Wild Rose,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}]",16,4.5,00195 - LARROUSSE - RIEUX
Barrique et Bourrique,FR,Toulouse,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}]",30,4.0,00195 - LARROUSSE - RIEUX
The Petit London,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}]",21,4.0,00195 - LARROUSSE - RIEUX
Connexion Live,FR,Toulouse,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",46,3.5,00195 - LARROUSSE - RIEUX
Rest'O Jazz,FR,Toulouse,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'french', 'title': 'French'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",40,3.5,00195 - LARROUSSE - RIEUX
Le Dubliners,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'irish_pubs', 'title': 'Irish Pub'}]",49,4.5,00280 - CHARBONNIERE
Le Studio Hop,FR,Toulouse,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'dancestudio', 'title': 'Dance Studios'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}]",3,4.5,00280 - CHARBONNIERE
Le Saint Roch Café,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,3.0,00280 - CHARBONNIERE
Le Dubliners,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'irish_pubs', 'title': 'Irish Pub'}]",49,4.5,00156 - METRO EMPALOT
Le Stadium,FR,Toulouse,"[{'alias': 'stadiumsarenas', 'title': 'Stadiums & Arenas'}, {'alias': 'football', 'title': 'Soccer'}]",24,4.0,00156 - METRO EMPALOT
Samouraï Lounge Bar,FR,Toulouse,"[{'alias': 'lounges', 'title': 'Lounges'}]",24,3.5,00156 - METRO EMPALOT
Café Barrière,FR,Toulouse,"[{'alias': 'cafes', 'title': 'Cafes'}]",16,3.0,00156 - METRO EMPALOT
Le Studio Hop,FR,Toulouse,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'dancestudio', 'title': 'Dance Studios'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}]",3,4.5,00156 - METRO EMPALOT
Brasserie Marie,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",3,4.0,00156 - METRO EMPALOT
La Centrale,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",9,3.0,00156 - METRO EMPALOT
Le C Café,FR,Toulouse,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]",2,4.0,00156 - METRO EMPALOT
Le Bout's,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",2,3.5,00156 - METRO EMPALOT
Le Saint Roch Café,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,3.0,00156 - METRO EMPALOT
La Cantine du Busca,FR,Toulouse,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'cafes', 'title': 'Cafes'}]",3,3.5,00156 - METRO EMPALOT
Le Café de Paris,FR,Toulouse,"[{'alias': 'restaurants', 'title': 'Restaurants'}, {'alias': 'bars', 'title': 'Bars'}]",4,3.5,00242 -  RAIMBAUD - COLETTE
Le Seize,FR,Toulouse,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bars', 'title': 'Bars'}]",3,3.0,00242 -  RAIMBAUD - COLETTE
Le Seizième,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,4.0,00242 -  RAIMBAUD - COLETTE
Karting Café,FR,Toulouse,"[{'alias': 'cafes', 'title': 'Cafes'}]",2,3.0,00242 -  RAIMBAUD - COLETTE
Les Oliviers,FR,Toulouse,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'pizza', 'title': 'Pizza'}]",1,5.0,00224 - CAMPUS SUPAERO
UrbanSoccer,FR,Toulouse,"[{'alias': 'football', 'title': 'Soccer'}]",1,4.0,00224 - CAMPUS SUPAERO
