Station Name,Address,empty_slots,free_bikes,latitude,longitude,timestamp,Unique ID
00221 - VAUQUELIN,FACE 85 RUE VAUQUELIN,20,0,43.57641895477528,1.406488768851485,2022-12-05T00:29:57.045000Z,221
00128 - PRISON SAINT-MICHEL,18 B GRANDE RUE ST MICHEL,17,6,43.5858956420793,1.44741188161604,2022-12-05T00:29:57.045000Z,128
00067 - MUSEUM,35 ALL JULES GUESDE,18,4,43.59468,1.44938,2022-12-05T00:29:57.046000Z,67
00188 - MURET - LAFAGE,121 AVENUE DE MURET,16,4,43.584282965329,1.42751710742151,2022-12-05T00:29:57.047000Z,188
00118 - PLACE DU BUSCA,PLACE DU BUSCA / FACE ECOLE JEAN JAURES,8,9,43.5881792539208,1.45076452847152,2022-12-05T00:29:57.053000Z,118
00178 - BRUNAUD - PLANA,FACE 100 AV YVES BRUNAUD,20,0,43.6192814029374,1.468753766919,2022-12-05T00:29:57.057000Z,178
00041 - SAINT-AUBIN - CAMICHEL,1 RUE CHARLES CAMICHEL,9,11,43.6026536423207,1.45443607879619,2022-12-05T00:29:57.058000Z,41
00090 - LASCROSSES - PLACE ARNAUD BERNARD,3B BD LASCROSSES,19,6,43.6114697143629,1.43787138555075,2022-12-05T00:29:57.059000Z,90
00068 - METRO - PALAIS DE JUSTICE,1 BIS ALLEE JULES GUESDE,2,14,43.59265,1.44455,2022-12-05T00:29:57.060000Z,68
00147 - CHAUSSAS - DAUDET,96 RUE DE CHAUSSAS,2,18,43.61990748467363,1.428966282419491,2022-12-05T00:29:57.061000Z,147
00153 - BOURGES MAUNOURY,12 AV BOURGES MAUNOURY,5,12,43.628469420497346,1.447936286895422,2022-12-05T00:29:57.062000Z,153
00262 - ROND POINT CHEMIN DE BORDEROUGE,26 CH DE BORDEROUGE,17,1,43.64265,1.45632,2022-12-05T00:29:57.069000Z,262
00023 - COMBATTANTS,6 BD LAZARE CARNOT,18,8,43.60128593726337,1.452057713684133,2022-12-05T00:29:57.071000Z,23
00273 - PASSERIEU - SAINT-SIMON,RD PT LOUIS IZAR / ANGLE AV LOUIS ARISTE PASSERIEU,16,2,43.5792,1.39262,2022-12-05T00:29:57.071000Z,273
00183 - RUE DE CUGNAUX,RUE DE CUGNAUX,11,7,43.5931301810241,1.42463077628583,2022-12-05T00:29:57.073000Z,183
00126 - ECOLE BONNEFOY,18 RUE BONNEFOY,7,15,43.61689063107848,1.454339701099757,2022-12-05T00:29:57.073000Z,126
00255 - HENRI SELLIER,2 RUE DES MOUETTES / ANGLE ALL HENRI SELLIER,0,16,43.57705,1.44009,2022-12-05T00:29:57.074000Z,255
00233 - NARBONNE - SAHUQUE,FACE 88 RTE DE NARBONNE STATION ESSO,12,8,43.5664127635063,1.45885250049958,2022-12-05T00:29:57.075000Z,233
00254 - LOT - VESTREPAIN,RUE DU LOT / 100M AVANT LA RUE VESTREPAIN,10,8,43.5837,1.40644,2022-12-05T00:29:57.075000Z,254
00021 - CARNOT - LABEDA,63 BD LAZARE CARNOT,10,15,43.6041114379856,1.45024513036944,2022-12-05T00:29:57.076000Z,21
00062 - JAURES - STALINGRAD,81 ALLEE JEAN JAURES,21,3,43.6090446440581,1.45336004007864,2022-12-05T00:29:57.077000Z,62
00244 - RENAN - VITRY,93 RUE ERNEST RENAN ANGLE RUE VITRY,2,16,43.6357067760697,1.44375182239788,2022-12-05T00:29:57.080000Z,244
00024 - PLACE SAINT-ETIENNE,14 PL SAINT-ETIENNE,7,15,43.6003986674123,1.45017910039206,2022-12-05T00:29:57.081000Z,24
00245 - GRANDE-BRETAGNE - BADIOU,103 BIS AV DE GRANDE BRETAGNE ANGLE RUE BADIOU,12,7,43.5999082407213,1.41518438915584,2022-12-05T00:29:57.082000Z,245
00196 - GOUJON - GUILHEMERY,6 RUE JEAN GOUJON,15,5,43.6017932127447,1.458048662941769,2022-12-05T00:29:57.083000Z,196
00281 - NIEL,FACE 80 RUE SAINT ROCH / ANGLE AC DU 14EME REGIMENT D'INFANTERIE,6,12,43.57886,1.44649,2022-12-05T00:29:57.083000Z,281
00260 - DUCLOS - FRONTON,RUE LEONCE DUCLOS / ANGLE AV DE FRONTON FACE 26 IMP DU BARON,4,14,43.64495,1.43379,2022-12-05T00:29:57.084000Z,260
00228 - METRO FACULTE DE PHARMACIE,FACE 35 CHEMIN DES MARAICHERS,18,0,43.5677165058716,1.46445685202763,2022-12-05T00:29:57.085000Z,228
00207 - CHRIST ROI,FACE 25 RUE DE L AUDE,12,5,43.58300698375498,1.481508972569192,2022-12-05T00:29:57.086000Z,207
00011 - PLACE DE LA DAURADE,2 PL DE LA DAURADE,19,3,43.60215,1.44026,2022-12-05T00:29:57.087000Z,11
00186 - DESBALS - BOUALAM,1 IMPASSE BACHAGA BOUALAM,8,10,43.5792182218804,1.41112908179427,2022-12-05T00:29:57.087000Z,186
00235 - METRO LAVACHE - VERLAINE,FACE AU 8 RUE PAUL VERLAINE,12,7,43.6333722270955,1.43538536091475,2022-12-05T00:29:57.088000Z,235
000288 - METZ - RUE DES MARCHANDS,28 RUE DES MARCHANDS,27,9,43.59995,1.44289,2022-12-05T00:29:57.089000Z,288
00150 - CURIE - CAMPISTRON,78 BD PIERRE ET MARIE CURIE,2,16,43.6259309595493,1.43987090056637,2022-12-05T00:29:57.089000Z,150
00252 - NEGRENEYS - CASENEUVE,161/163 AV DE NEGRENEYS SUR ILOT CENTRAL,5,13,43.62687,1.44404,2022-12-05T00:29:57.090000Z,252
00184 - MICHOUN,70 CHEMIN MICHOUN,14,6,43.62727712277727,1.469362217455508,2022-12-05T00:29:57.091000Z,184
00271 - ANCELY,FACE 151 AV DES ARENES ROMAINES,20,0,43.61948,1.39711,2022-12-05T00:29:57.092000Z,271
00161 - RANGUEIL - BEDOUCE,35 AV DE RANGUEIL,6,9,43.57644751100008,1.454915112024358,2022-12-05T00:29:57.093000Z,161
00172 - NETWILLER - LAFFORGUE,RD-PT DE L'ABBE LAFFORGUE ANGLE RUE HENRI EBELOT,5,15,43.6428335697774,1.46119167161341,2022-12-05T00:29:57.094000Z,172
00120 - BARCELONE - PONTS JUMEAUX,152 ALL DE BARCELONE,1,17,43.610353515243,1.42054540744298,2022-12-05T00:29:57.095000Z,120
00268 - PLACE BAYLAC,PL DU DR JOSEPH BAYLAC ANGLE AV DES ARENES ROMAINES,15,7,43.60868,1.3972,2022-12-05T00:29:57.096000Z,268
00217 - AMOUROUX - SAINT-TROPEZ,42 CHEMIN AMOUROUX,10,7,43.6296716006332,1.4664425134118,2022-12-05T00:29:57.096000Z,217
00082 - SEJOURNE - CATALANS,1 AV PAUL SEJOURNE,8,12,43.6055623784474,1.42796981948483,2022-12-05T00:29:57.097000Z,82
00173 - MAUNOURY - SEGLA,25 AV MAURICE BOURGES MAUNOURY,2,17,43.6331828272491,1.45053596993473,2022-12-05T00:29:57.098000Z,173
00070 - FER A CHEVAL,5 PLACE DU FER A CHEVAL,11,7,43.59253,1.43421,2022-12-05T00:29:57.099000Z,70
00141 - FONTAINE LESTANG,237 RUE HENRI DESBALS,1,17,43.587583195522946,1.418128481713567,2022-12-05T00:29:57.099000Z,141
00108 - SEBASTOPOL - RITAY,2 BD SEBASTOPOL,5,15,43.612283701347906,1.428790629053277,2022-12-05T00:29:57.100000Z,108
00085 - MARECHAL LECLERC,2 BD DU MARECHAL LECLERC,11,11,43.606708008560005,1.430598716260075,2022-12-05T00:29:57.101000Z,85
00202 - SAINT-EXUPERY - COURREGE,165 AV ANTOINE DE ST EXUPERY,17,0,43.5816689490615,1.47600217659985,2022-12-05T00:29:57.103000Z,202
00102 -  MISTRAL - FLEURANCE,18 ALLEE FREDERIC MISTRAL,5,14,43.593599912488976,1.453042492588597,2022-12-05T00:29:57.103000Z,102
